UID,Username,Email,Password,PhoneNumber,Address,Points,BankAccountNumber
483339907,mzienkiewiczg,fstancerg@bing.com,lI6@Y>dI,7931646509,16 Village Green Parkway,8888,591593602
463096224,ndresselh,tstanneyh@skyrock.com,iW3*g8X#ra,6607623198,20838 Mariners Cove Lane,6904,9477193437
998936918,dclaceyi,mgodthaabi@vistaprint.com,dZ4!/zTr,3053246495,16219 Roth Crossing,4157,5256350331
797375663,dtootalj,tlightbownj@nasa.gov,zQ5?3vrl>Ees0B`Q,3015131135,3 Loeprich Hill,6521,4731206553
479660615,adumbrillk,vbloxhamk@hhs.gov,vH7'CSj'_,3192224556,7791 Duke Center,9338,1219840734
815258035,lbircherl,rsirmondl@msu.edu,xL7?gz2r#qTE>I,1705973233,26 Granby Point,550,4609745038
788382265,lslatorm,cpridittm@t-online.de,dD2%CrF1&Dm*#0pD,4121372648,5790 Kipling Pass,4044,7733236088
411618942,stidcomben,cbalderstonn@java.com,aA9?R5)'oJ),7208054270,19783 Hudson Terrace,9891,914553739
716707315,fpaleko,egoriolio@cdbaby.com,jD2?j1YQ!,9058147779,97402 Cardinal Point,3086,9260677823
852574083,mdinsdalep,cmacalorenp@harvard.edu,cJ3+(V=O+n6GS!,9675534321,329 Melby Terrace,1360,8290252269
204563169,rbattellq,dolivelliq@privacy.gov.au,dE5$Zb%NK6,6511623397,0913 Rutledge Parkway,8139,2466267373
341359947,gbagworthr,apoyntonr@foxnews.com,"vL1`%T8d#>""OVo",3482334764,25 Starling Crossing,2414,1487784600
460754370,dcaswells,nosgodbys@blogtalkradio.com,nN0?n!/&pe\Ck,6312485688,23688 Nobel Trail,5407,2552474934
731087806,groebottomt,jmassowt@istockphoto.com,aR0)lh@|VemF*,8692598611,571 Di Loreto Junction,9890,9343838298
344302979,gworsamu,rfairburnu@dell.com,oP0}lxyE,4885130562,77305 Loeprich Place,8997,2811034005
910056443,rphilipsonv,dwalsomv@desdev.cn,"pM7""U<ok",6855394223,90139 Badeau Crossing,9622,2870450419
465760961,emaginnw,elowlew@wordpress.org,"zX9*Q'|4,Hl4Q",3717962383,8 Summer Ridge Parkway,348,9014077130
475796315,sgreenwoodx,pgothardx@discovery.com,oO7)P?1CCk,7806866861,79047 Summerview Trail,7039,7043897092
484388142,wramsayy,jechalliery@google.ca,eD3<$AdvN4+G!w,7008143964,4 Anhalt Drive,288,3847115227
779222217,ailyasovz,agebbz@va.gov,dV8`n%VO,8581890496,71 Kedzie Center,2792,2253861111
731292467,swaterhowse10,bwycliffe10@ihg.com,gL3}DR&NKp,2014412174,6 Bobwhite Parkway,9681,1023751666
834185475,ctoft11,khalladey11@bigcartel.com,jS5_pSdGle,5694015015,94 Eastlawn Hill,6522,8521430833
698152761,mjellard12,tstrowther12@statcounter.com,pK8!>J)#o$fDfI0c,3788719228,2 3rd Hill,6626,8443118849
295183654,zvanyashkin13,rcharville13@unicef.org,oD9\}veBS`D.=3,6657890275,4 Wayridge Junction,8153,2760089851
346721393,fbediss14,tbisgrove14@microsoft.com,uL7>C7E)@x7Z\`5,9908818854,29549 Donald Place,2903,2323409042
942084230,mmaestro15,tmacfall15@msu.edu,vZ9+K$`e9nF$,8763342179,2777 Drewry Alley,8055,6760814185
830649923,pmaybury16,mcroose16@comsenz.com,vG6>E_a`nAZs,7767674775,0 Welch Avenue,2162,5617496069
794711769,bmosedill17,hwadie17@fastcompany.com,mS0(W)$v\\wSX,6254371204,059 Bobwhite Place,7620,9151762161
887460896,evarren18,lwalstow18@desdev.cn,xN1/WkQ)TO%7,6994572493,51 Arapahoe Way,9012,7828024096
885340747,clamberth19,sbimrose19@amazonaws.com,"iA6&#,R&I!8>g)4",4496561262,81 Texas Way,2708,4805158026
556872238,emacteggart1a,fskett1a@bing.com,"zX2*FS`~{""kx7",8149161370,98 Evergreen Road,802,1336754117
471776608,trodolico1b,pbowlands1b@bloomberg.com,tW9.1B5~oc,7752955863,23984 Waxwing Hill,6854,8597083859
671063622,schristofe1c,cingreda1c@wsj.com,"gQ6""Qp1qqK8r",2578133733,0116 Bellgrove Road,9145,2065945931
953068942,smarqyes1d,fpash1d@unicef.org,cY4#Q/gR$_jVF,9013694401,0856 Luster Parkway,2673,4587732648
593805580,ltorr1e,emallya1e@hexun.com,gO1&)5R5,6148108717,29250 Blackbird Drive,8381,7935604762
957154228,baylward1f,medelheit1f@nhs.uk,tP5=kz@w,3613312479,150 Browning Street,3141,7290746317
949707834,bgodwin1g,dtancock1g@studiopress.com,pX3~'r~th6CS,9317524629,5 Heath Court,9100,9254629847
757499281,nhovard1h,alockyear1h@wordpress.org,"cN4(ah(9j7~w=""`",5798839376,2638 Arapahoe Court,3994,2273011865
414356249,mbuss1i,adevaar1i@tamu.edu,"qJ7}VEr`Z0,X,.'?",7273656402,82089 Fulton Parkway,3100,9557297883
606011359,anesey1j,horchart1j@google.it,dJ8)%a.K,2574398701,33 Coolidge Avenue,4355,1696970008
446323805,psavins1k,nmainz1k@sciencedirect.com,kN4/b&tV9,1688445184,62 Little Fleur Plaza,9366,8687974604
242568392,tcardenoso1l,ftonner1l@answers.com,tB8@NC(%)v,4072545914,58 Victoria Point,6247,8134028853
962747285,cgiraux1m,cgagg1m@weather.com,"oK9`Px\qz+)r""",9496560118,123 Nova Trail,723,7639152917
306509476,gdrews1n,mhissie1n@marriott.com,mQ1|r}5<Y,9321829521,5 Porter Drive,2270,6896755334
388004190,agilliard1o,swallington1o@ameblo.jp,jN8!fY(g&,6765444463,3 Aberg Street,2220,127827374
682831410,mcathee1p,wjanaszewski1p@gmpg.org,dY1)nom4S#E%F,2171983144,32519 Del Mar Avenue,9330,8150473343
471004477,pmerrywether1q,shaward1q@unc.edu,mT0$#m&9e/gj7!@y,1706233894,8942 Kinsman Road,5916,8138795468
796941228,mrandalston1r,hparmby1r@ibm.com,yN5=x@<}@}u!,4951206936,1 Roth Circle,4896,8625688802
276502564,mewan1s,gmcgeechan1s@facebook.com,uL9)6$0QGlu,9146802047,5779 Duke Street,1633,9796985144
978677239,amckern1t,vrooper1t@creativecommons.org,bT6$\K7GA,5029140162,101 Daystar Alley,6657,9990962618
895943072,dbenesevich1u,lcawkill1u@reverbnation.com,bE6!p(?ZN_@*,8077983967,7064 Grover Alley,7145,4137504687
813949312,lviggars1v,vbiskupek1v@ftc.gov,rI2~l~_mG,2739907399,3149 Sunfield Trail,1880,9482250729
289633603,cluc1w,eventon1w@dailymotion.com,zR6`\zB|_!@A{=8,7377691100,14037 School Trail,1353,33657114
235823294,dkingsman1x,bstrass1x@freewebs.com,sJ2@?hO=zzkn6.\D,1499739450,124 Nova Parkway,8994,5663744339
488184383,abirchwood1y,ecossington1y@netlog.com,"mE8\%PU""9ts5cT/X",4825989558,31 Chinook Alley,2627,4978746892
474942324,apiens1z,jmaffezzoli1z@ucoz.ru,"tN6`wZI""",1603903331,050 Coleman Point,5982,5297008956
738489099,lsworder20,kgiametti20@free.fr,pD2.TtF@Y,4298158959,0917 Kim Trail,2493,8919144680
981709919,tbeauvais21,dgaukroger21@multiply.com,bB0{h3Bs1jcthh2?,1039769812,46 Mallard Court,29,4587398756
408055983,tvaud22,dwakley22@walmart.com,nQ4#PrsK+6,7811701781,83434 Stephen Crossing,5033,1590657039
834860657,edobrovolny23,dhalbeard23@lulu.com,"gN4'5U""3t""um}o9",5477392084,93915 Warbler Park,9707,2365375154
964915597,dsorrel24,mvamplers24@nhs.uk,lQ8}NM4J}Sdy,4556315608,7 Everett Terrace,8002,5020719161
879901746,zepilet25,dskeermer25@unicef.org,qF9=WK%N4#cn,6421942462,3025 Ohio Terrace,508,7723966458
290343979,zlydall26,rcalifornia26@sourceforge.net,cP4@Fn1wMC#|Pzz,8636224348,83325 Eliot Terrace,8229,8802611866
612290555,fdekeyser27,cstollsteimer27@sfgate.com,sB4>HH1aD3sMdo`A,1817015290,5835 Harbort Junction,4886,6165856144
532946152,cchadbourne28,btheml28@jalbum.net,"oL0`nzt""a&*>~X6",3103426116,286 Iowa Way,7661,9119444338
477899527,nbanfill29,knoads29@skype.com,cQ1'U%A!zS&S+O6,3815298376,01865 Helena Alley,234,3908398460
967305422,cloades2a,qdy2a@state.tx.us,iP6/5>Rmbj@cn/ir,7185704974,9905 Merchant Avenue,3378,9774042735
440509144,ebourthoumieux2b,emagner2b@goo.ne.jp,uS8&jRvH,8412703307,65 Calypso Alley,8086,391235281
826052887,mcheverell2c,igrimolbie2c@hhs.gov,"tI3\f,?5RqupU}",2253964702,6 Monica Court,7937,2888113481
397866686,fbailes2d,ojillett2d@businessinsider.com,hI1'>Rk5K?X3u,4444613632,67 Green Ridge Park,7583,4833281228
372098520,bsisselot2e,bkorpal2e@opensource.org,mM6'fjA)Pc=vu,8375741492,2 Killdeer Crossing,4480,695501283
589216986,ffreathy2f,tsullens2f@e-recht24.de,rJ3_7oW2,4892449312,56219 Amoth Junction,3527,8582088159
903327370,iridges2g,tmunt2g@mozilla.org,uK2$.7'|f|I<GO,5255674191,3 Mendota Plaza,820,752361155
941142524,alethardy2h,btunniclisse2h@csmonitor.com,"fL9""))BT$*DP!T",4079549254,782 Marcy Alley,7056,7288114031
700843858,mgaenor2i,rdomonkos2i@nydailynews.com,jE7$drfxf,8006645623,41 Crowley Plaza,2571,4697882482
479966280,cdalgleish2j,gdowderswell2j@trellian.com,oC0(`!MlAQTQ,7596245995,3 Duke Alley,9192,4000592246
302254150,mliddiard2k,rbax2k@taobao.com,sS7#i9VZk4=@\s+,1723219763,9885 Mariners Cove Way,1701,6486228253
206951808,ccoil2l,dgrisbrook2l@issuu.com,"yO0#8m#,.c",1332602375,344 Dixon Alley,2962,2465589083
678856255,locleary2m,gbowbrick2m@twitpic.com,pI0(1*Jr_`FmE+n,2337520813,91 Schlimgen Road,9411,4999429101
427328493,wformby2n,mwressell2n@cnet.com,gK6}F}5=Y{dGLG,7486482978,5 Becker Road,9963,6282972302
711097914,amasham2o,lstorch2o@pagesperso-orange.fr,mC1<S|l0v2A,5357667459,98932 Packers Drive,3179,2493415280
953291511,ctownby2p,jglasscoo2p@facebook.com,hC9>C}6kqRs,2955282265,78 Calypso Junction,5527,1938838394
628934327,tmcelmurray2q,hmaccrie2q@google.com.hk,fN8{CI8IJaV?v&,1378972871,0 Everett Alley,8244,5364562824
765854423,cgierok2r,jodulchonta2r@addthis.com,mA4/(c)Z'OB*3*,3999073759,4 Memorial Alley,4826,470331127
